;;;193,239,532,578;;;;132,194,569,632;;69,98,283,310,443,470,655,682,815;263,374;286,379,434,527;
;;;;185,245,690,750;0,100,799;;;244,305,786;;;0,4,809,810;
;;;;336,412,555,574;128,157;;;215,256,333,384;;;;
;;;;25,59;;16,77,776;125,157,606,643;;111,147,244,289,472,517,615,649;0,63,670,698;224,252,489,769;
;;336,412,553,575;25,59;;786,801;15,81;;270,384,744,788;;;65,95;
;22,69,832;128,156;;785,801;;;;806;365,427;405,447,455,567;713,823;
;;;16,76,776;14,81;;;;404,629;;0,47;;
;;;125,156,605,643;;;;;;99,136,616,664;770;;
;;214,256,332,384;;270,383,744,788;808;403,629;;;;;;
;;;111,146,244,289,471,516,614,649;;365,426;;99,134,615,664;;;397,406,734,777;149,185,268,320,468,498,602,629;
284,351;;;0,60,669,698;;405,446,455,566;0,47;770;;396,406,733,777;;249,269,648,681;
;;;223,251,488,769;65,94;712,823;;;;148,184,268,320,466,498,601,629;248,270,648,681;;
