;;160,195,548,583;428,469;;;;;;;;;
;;;0,92,805;571,608;;;;298,403;279,404,681,806;152,301,596,745;;
;;;;;;;;45,90,621,691;;;78,99,470,513;
;0,67,828;;;255,295;310,350,598,744;243,286,468,615;180,224;548,593;786,810;;279,303;
;;;254,294;;242,251,697,699;117,330;279,310,824;;0,96;;;
;;;310,350,597,743;242,250,696,697;;218,255,344,381,810;149,194;813;;0,30,425,458;267,285,304,333;
;;;242,286,468,615;116,329;217,254,344,381,810;;276,291;542,617,813;;;544,596;
;;;179,224;279,310,824;149,193;276,290;;17,123;;326,377,770,787;0,123;
;;45,89,621,691;548,592;;813;542,616,812;16,123;;216,292,417,512;273,311,479,521;40,151,544,597,742,781;
;;;787,808;0,94;;;;216,292,416,511;;266,308;;
;173,278,617,722;;;;0,29,424,458;;325,376,769,788;272,311,478,521;266,307;;;
;;78,97,469,513;278,301;;264,287,304,333;544,596;0,138;40,150,544,596,742,780;;;;
