;;;;;;;;;0,95,306,377,588,771;;;;
;;7,83;0,94,820;117,264;429,552,807;;;;;247,363,544,657;;;
;;;80,187;;;593,619;;148,179,598,743;;148,193,651,666;549,592;;
;4,67,844;79,186;;;834;;;85,105,800,813;255,292,560,585;148,187,723,760;242,274;;
;138,225;;;;253,305;;600,640;;467,493;;;;
;452,527,830;;834;253,304;;;;99,186;;524,572;;;
;;592,618;;;;;;8,73,483,551,557,622;;;625,649;;
;;;;600,640;;;;;;0,38;799,821;;
;;147,179,597,743;85,105,799,812;;99,186;7,72,482,550,556,622;;;;166,214,224,257,640,730;;;
0,72,330,351,609,748;;;256,290,560,584;466,492;;;;;;;172,180,211,265,778,809;387,426,502,538;
;274,333,572,628;147,192,651,665;148,187,723,759;;198,207,523,571;;0,37;166,221,224,256,639,729;;;;;
;;549,592;242,273;;;626,647;798,820;;169,182,211,264,779,807;;;;
;;;;;;;;;387,426,502,538;;;;
