;;;;;;;;;310,338;;;;
;;;277,472;;9,74;;;;569;;;284,423;
;;;;525,555;;432,551;236,273;;411,455;;125,157,464,481;;
;297,448;;;;;0,77;50,132;;496,540;222,268,481,567;536,580;0,143,193,369;
;;524,555;;;;232,272,526,569;;;269,291;;43,83;;
;;;;;;;;486,584;;;;;
;;431,551;0,78;232,272,525,569;;;;;;;;0,55;
;;237,271;55,126;;;;;;131,184;;332,372;18,91;
;;;;;485,583;;;;;;;;
;598;411,455;496,540;270,288;;222,231;130,184;;;488,542;170,206;;
;;;222,267,480,566;;;;;;488,541;;542;230,277,414,457;
;;125,156,463,481;535,580;43,82;;;332,372;;170,205;541;;;
;305,400;;0,142,192,368;;;0,53;16,92;;;230,276,414,457;;;
