;;;97,186;;;;;;;
;;130,238,735;;;;583,630;0,13,580,599;552,617;;
;159,207,764;;;;327,343,595,636;581,661;548,586,591,634;450,467,593,630;460,494;
;;;;266,300;675,698;;;658,716;380,422;
;;;265,300;;;669,715;;;;
;;67,71,327,341,594,635;674,698;;;0,31,622,652;614,662;616,729;172,228;
;;581,661;;668,715;0,31,621,652;;84,237,519,691;110,133,551,639;;
;;548,585,590,634;;;613,661;83,237,521,689;;528,582,588,647;;
;;450,466,593,629;657,716;;617,728;109,132,551,639;527,582,587,647;;410,458;
;;460,493;379,421;;172,228;;;410,458;;
