;;252,447,944,1139;620,693;;;;;;;;
;;;;;18,146,406,503,763,891,920,1048,1308,1405;58,167,636,744,853,961,1430;;;91,179,665,747,930,1012;;
275,422,967,1114;;;;19,26,1352,1369;;;;;;;
648,663;;;;413,476,879,920;;;;188,218,500,544,979,1011,1298;213,251,1070,1180;141,177,480,518,1210,1254;
;;19,25,1352,1369;412,476,878,920;;;274,337,754,827,1070,1121;537,621;1176,1249;321,345,349,378,753,779;216,256,917,942,1165,1209;
;40,122,427,480,785,867,942,1024,1329,1382;;;;;90,114;;;;;
;79,144,657,721,874,938,1451;;;273,337,754,828,1069,1120;90,113;;1062,1101;187,272,585,623;70,231,411,545,597,777,1221,1345;517,568,1276,1344;
;;;;537,621;;1060,1100;;1100,1190;;;
;;;188,218,500,543,978,1011,1298;1174,1250;;186,271,582,624;1100,1190;;185,240,616,661,1032,1090;389,430,452,489,872,873,1183,1226;
;;;212,251,1070,1179;320,345,349,377,753,778;;67,230,411,544,596,777,1220,1346;;185,239,616,660,1031,1089;;1306,1369;
;;;141,177,479,518,1210,1253;215,255,917,941,1165,1209;;516,568,1275,1343;;389,430,860,872,1183,1226;1307,1368;;
