;;263,432,801,970;;;;403,502,1301,1400;;;;;
;;;0,47,985,1076;;188,272,306,435,720,849,883,967,1336,1420,1454;;;;;;
286,360,871,945;;;547,602,1176,1200,1303,1349;136,169,457,496;;384,448,722,760;602,753;93,160,1065,1100,1463;;;
;;547,601,1175,1200,1304,1346;;188,223,242,374,721,785,1179,1250,1275,1372;;;;737,784;423,513,1433;764,809;
;;135,169,456,496;187,223,242,374,720,785,1179,1250,1275,1370;;;468,498;106,146,823,864,1071,1108;524,576,766,827,1107,1117,1421,1465;912,953;;
;327,412,741,826,1475;;;;;58,91;428,513,1170,1260;;596,626;;
435,468,1333,1366;;384,447,722,760;;468,498;57,91;;740,757;0,30,385,398,501,512,874,927,1276,1291,1395,1402;769,813,974,1019;;
;;602,752;;106,145,823,863,1070,1108;428,513,1169,1260;740,751;;58,111,981,1024;224,267,1313,1345;;
;;93,159,1064,1100,1463;737,783;516,582,745,758,766,826,1106,1117,1420,1465;;0,30,384,398,501,511,874,927,1275,1291,1395,1401;57,110,981,1023;;296,383;160,192,1026,1062;
;;;423,512,1433;911,952;595,626;768,812,974,1018;223,266,1313,1345;296,382;;;
;;;764,809;;;;;158,193,1026,1062;;;
